Plot,Observer,Date,Direction,Height,Distance,Score
CS_12,Yolanda,2019-07-12,280,2,20,5
CS_12,Yolanda,2019-07-12,280,2.5,20,5
CS_12,Yolanda,2019-07-12,280,0.5,25,5
CS_12,Yolanda,2019-07-12,280,1,25,5
CS_12,Yolanda,2019-07-12,280,1.5,25,5
CS_12,Yolanda,2019-07-12,280,2,25,5
CS_12,Yolanda,2019-07-12,280,2.5,25,5
CS_12,Yolanda,2019-07-12,280,0.5,30,5
CS_12,Yolanda,2019-07-12,280,1,30,5
CS_12,Yolanda,2019-07-12,280,1.5,30,5
CS_12,Yolanda,2019-07-12,280,2,30,5
CS_12,Yolanda,2019-07-12,280,2.5,30,5
CS_13,Yolanda,2019-07-12,320,0.5,5,4
CS_13,Yolanda,2019-07-12,320,1,5,4
CS_13,Yolanda,2019-07-12,320,1.5,5,3
CS_13,Yolanda,2019-07-12,320,2,5,5
CS_13,Yolanda,2019-07-12,320,2.5,5,3
CS_13,Yolanda,2019-07-12,320,0.5,10,5
CS_13,Yolanda,2019-07-12,320,1,10,5
CS_13,Yolanda,2019-07-12,320,1.5,10,5
CS_13,Yolanda,2019-07-12,320,2,10,5
CS_13,Yolanda,2019-07-12,320,2.5,10,5
CS_13,Yolanda,2019-07-12,320,0.5,15,5
CS_13,Yolanda,2019-07-12,320,1,15,5
CS_13,Yolanda,2019-07-12,320,1.5,15,5
CS_13,Yolanda,2019-07-12,320,2,15,5
CS_13,Yolanda,2019-07-12,320,2.5,15,5
CS_13,Yolanda,2019-07-12,320,0.5,20,5
CS_13,Yolanda,2019-07-12,320,1,20,5
CS_13,Yolanda,2019-07-12,320,1.5,20,5
CS_13,Yolanda,2019-07-12,320,2,20,5
CS_13,Yolanda,2019-07-12,320,2.5,20,5
CS_13,Yolanda,2019-07-12,320,0.5,25,5
CS_13,Yolanda,2019-07-12,320,1,25,5
CS_13,Yolanda,2019-07-12,320,1.5,25,5
CS_13,Yolanda,2019-07-12,320,2,25,5
CS_13,Yolanda,2019-07-12,320,2.5,25,5
CS_13,Yolanda,2019-07-12,320,0.5,30,5
CS_13,Yolanda,2019-07-12,320,1,30,5
CS_13,Yolanda,2019-07-12,320,1.5,30,5
CS_13,Yolanda,2019-07-12,320,2,30,5
CS_13,Yolanda,2019-07-12,320,2.5,30,5
CS_14,Yolanda,2019-07-12,310,0.5,5,5
CS_14,Yolanda,2019-07-12,310,1,5,1
CS_14,Yolanda,2019-07-12,310,1.5,5,1
CS_14,Yolanda,2019-07-12,310,2,5,1
CS_14,Yolanda,2019-07-12,310,2.5,5,1
CS_14,Yolanda,2019-07-12,310,0.5,10,4
CS_14,Yolanda,2019-07-12,310,1,10,1
CS_14,Yolanda,2019-07-12,310,1.5,10,1
CS_14,Yolanda,2019-07-12,310,2,10,4
CS_14,Yolanda,2019-07-12,310,2.5,10,3
CS_14,Yolanda,2019-07-12,310,0.5,15,5
CS_14,Yolanda,2019-07-12,310,1,15,5
CS_14,Yolanda,2019-07-12,310,1.5,15,1
CS_14,Yolanda,2019-07-12,310,2,15,5
CS_14,Yolanda,2019-07-12,310,2.5,15,5
CS_14,Yolanda,2019-07-12,310,0.5,20,5
CS_14,Yolanda,2019-07-12,310,1,20,5
CS_14,Yolanda,2019-07-12,310,1.5,20,5
CS_14,Yolanda,2019-07-12,310,2,20,5
CS_14,Yolanda,2019-07-12,310,2.5,20,5
CS_14,Yolanda,2019-07-12,310,0.5,25,5
CS_14,Yolanda,2019-07-12,310,1,25,5
CS_14,Yolanda,2019-07-12,310,1.5,25,5
CS_14,Yolanda,2019-07-12,310,2,25,5
CS_14,Yolanda,2019-07-12,310,2.5,25,5
CS_14,Yolanda,2019-07-12,310,0.5,30,5
CS_14,Yolanda,2019-07-12,310,1,30,5
CS_14,Yolanda,2019-07-12,310,1.5,30,5
CS_14,Yolanda,2019-07-12,310,2,30,5
CS_14,Yolanda,2019-07-12,310,2.5,30,5
CS_15,IR & GR,2019-07-12,200,0.5,5,1
CS_15,IR & GR,2019-07-12,200,1,5,1
CS_15,IR & GR,2019-07-12,200,1.5,5,1
CS_15,IR & GR,2019-07-12,200,2,5,1
CS_15,IR & GR,2019-07-12,200,2.5,5,1
CS_15,IR & GR,2019-07-12,200,0.5,10,1
CS_15,IR & GR,2019-07-12,200,1,10,1
CS_15,IR & GR,2019-07-12,200,1.5,10,1
CS_15,IR & GR,2019-07-12,200,2,10,4
CS_15,IR & GR,2019-07-12,200,2.5,10,3
CS_15,IR & GR,2019-07-12,200,0.5,15,3
CS_15,IR & GR,2019-07-12,200,1,15,4
CS_15,IR & GR,2019-07-12,200,1.5,15,4
CS_15,IR & GR,2019-07-12,200,2,15,5
CS_15,IR & GR,2019-07-12,200,2.5,15,5
CS_15,IR & GR,2019-07-12,200,0.5,20,5
CS_15,IR & GR,2019-07-12,200,1,20,5
CS_15,IR & GR,2019-07-12,200,1.5,20,5
CS_15,IR & GR,2019-07-12,200,2,20,5
CS_15,IR & GR,2019-07-12,200,2.5,20,5
CS_15,IR & GR,2019-07-12,200,0.5,25,5
CS_15,IR & GR,2019-07-12,200,1,25,5
CS_15,IR & GR,2019-07-12,200,1.5,25,5
CS_15,IR & GR,2019-07-12,200,2,25,5
CS_15,IR & GR,2019-07-12,200,2.5,25,5
CS_15,IR & GR,2019-07-12,200,0.5,30,5
CS_15,IR & GR,2019-07-12,200,1,30,5
CS_15,IR & GR,2019-07-12,200,1.5,30,5
CS_15,IR & GR,2019-07-12,200,2,30,5
CS_15,IR & GR,2019-07-12,200,2.5,30,5
CS_16,IR & GR,2019-07-12,301,0.5,5,3
CS_16,IR & GR,2019-07-12,301,1,5,4
CS_16,IR & GR,2019-07-12,301,1.5,5,3
CS_16,IR & GR,2019-07-12,301,2,5,3
CS_16,IR & GR,2019-07-12,301,2.5,5,4
CS_16,IR & GR,2019-07-12,301,0.5,10,5
CS_16,IR & GR,2019-07-12,301,1,10,5
CS_16,IR & GR,2019-07-12,301,1.5,10,4
CS_16,IR & GR,2019-07-12,301,2,10,4
CS_16,IR & GR,2019-07-12,301,2.5,10,4
CS_16,IR & GR,2019-07-12,301,0.5,15,5
CS_16,IR & GR,2019-07-12,301,1,15,5
CS_16,IR & GR,2019-07-12,301,1.5,15,5
CS_16,IR & GR,2019-07-12,301,2,15,5
CS_16,IR & GR,2019-07-12,301,2.5,15,5
CS_16,IR & GR,2019-07-12,301,0.5,20,5
CS_16,IR & GR,2019-07-12,301,1,20,5
CS_16,IR & GR,2019-07-12,301,1.5,20,5
CS_16,IR & GR,2019-07-12,301,2,20,5
CS_16,IR & GR,2019-07-12,301,2.5,20,5
CS_16,IR & GR,2019-07-12,301,0.5,25,5
CS_16,IR & GR,2019-07-12,301,1,25,5
CS_16,IR & GR,2019-07-12,301,1.5,25,5
CS_16,IR & GR,2019-07-12,301,2,25,5
CS_16,IR & GR,2019-07-12,301,2.5,25,5
CS_16,IR & GR,2019-07-12,301,0.5,30,5
CS_16,IR & GR,2019-07-12,301,1,30,5
CS_16,IR & GR,2019-07-12,301,1.5,30,5
CS_16,IR & GR,2019-07-12,301,2,30,5
CS_16,IR & GR,2019-07-12,301,2.5,30,5
CS_17,IR & GR,2019-07-12,132,0.5,5,4
CS_17,IR & GR,2019-07-12,132,1,5,3
CS_17,IR & GR,2019-07-12,132,1.5,5,2
CS_17,IR & GR,2019-07-12,132,2,5,3
CS_17,IR & GR,2019-07-12,132,2.5,5,2
CS_17,IR & GR,2019-07-12,132,0.5,10,4
CS_17,IR & GR,2019-07-12,132,1,10,3
CS_17,IR & GR,2019-07-12,132,1.5,10,2
CS_17,IR & GR,2019-07-12,132,2,10,3
CS_17,IR & GR,2019-07-12,132,2.5,10,2
CS_17,IR & GR,2019-07-12,132,0.5,15,5
CS_17,IR & GR,2019-07-12,132,1,15,4
CS_17,IR & GR,2019-07-12,132,1.5,15,5
CS_17,IR & GR,2019-07-12,132,2,15,4
CS_17,IR & GR,2019-07-12,132,2.5,15,3
CS_17,IR & GR,2019-07-12,132,0.5,20,5
CS_17,IR & GR,2019-07-12,132,1,20,5
CS_17,IR & GR,2019-07-12,132,1.5,20,3
CS_17,IR & GR,2019-07-12,132,2,20,4
CS_17,IR & GR,2019-07-12,132,2.5,20,4
CS_17,IR & GR,2019-07-12,132,0.5,25,5
CS_17,IR & GR,2019-07-12,132,1,25,5
CS_17,IR & GR,2019-07-12,132,1.5,25,4
CS_17,IR & GR,2019-07-12,132,2,25,5
CS_17,IR & GR,2019-07-12,132,2.5,25,5
CS_17,IR & GR,2019-07-12,132,0.5,30,5
CS_17,IR & GR,2019-07-12,132,1,30,5
CS_17,IR & GR,2019-07-12,132,1.5,30,5
CS_17,IR & GR,2019-07-12,132,2,30,5
CS_17,IR & GR,2019-07-12,132,2.5,30,5
CS_18,IR & GR,2019-07-19,164,0.5,5,5
CS_18,IR & GR,2019-07-19,164,1,5,4
CS_18,IR & GR,2019-07-19,164,1.5,5,3
CS_18,IR & GR,2019-07-19,164,2,5,4
CS_18,IR & GR,2019-07-19,164,2.5,5,3
CS_18,IR & GR,2019-07-19,164,0.5,10,5
