,BadPoint,Var_X,Var_Y,Cov_XY,AngleDiff,Date,Time,Frequency,coords.x1,coords.x2,datetime
103,0,163.2583375,146.9143294,111.9753388,1.88281724,2017-08-05,115451,149.673,-53.98610851,48.35041208,2017-08-05 11:54
104,0,201.2906471,335.2832989,11.48747575,2.868885147,2017-08-08,143916,149.673,-53.98532581,48.35048084,2017-08-08 14:39
105,0,10.37702486,11.40296264,6.554587379,0.385083106,2017-08-10,188422,149.673,-53.98901505,48.34897019,2017-08-10 19:24
106,0,78.72998909,190.1225601,-2.631558426,4.712712872,2017-08-11,69932,149.673,-53.98530197,48.35114295,2017-08-11 7:39
107,1,0,0,0,0,2017-08-11,190849,149.673,-53.98587015,48.35109932,2017-08-11 19:08
108,0,859.654851,1213.200826,646.7692489,4.686903518,2017-08-12,68801,149.673,-53.98586637,48.35075516,2017-08-12 7:18
109,1,0,0,0,0,2017-08-12,184208,149.673,-53.98832762,48.3484601,2017-08-12 18:42
110,0,68.42568303,410.5394169,-3.36973199,2.906858782,2017-08-13,123835,149.673,-53.98795783,48.35201536,2017-08-13 12:38
111,1,0,0,0,0,2017-08-15,102929,149.673,-53.99194358,48.35188303,2017-08-15 10:29
112,0,45.70788151,64.36170348,16.00618135,1.333127084,2017-08-16,93271,149.673,-53.98923583,48.35053645,2017-08-16 9:33
113,0,433.7206181,859.1649841,157.545531,10.28706406,2017-08-17,104518,149.673,-53.98638162,48.35103231,2017-08-17 10:45
114,0,534.8258803,433.1267805,276.953587,2.71951142,2017-08-18,163364,149.673,-53.98834684,48.34918663,2017-08-18 16:34
115,0,104.7204751,280.1089039,82.20442788,2.717970934,2017-08-19,146556,149.673,-53.98799322,48.35126754,2017-08-19 15:15
116,0,5.430169443,9.510273824,1.600678763,0.432668998,2017-08-20,95341,149.673,-53.98601397,48.35048251,2017-08-20 9:53
117,0,15.28768135,62.50408846,-0.989218451,1.096346015,2017-08-21,106538,149.673,-53.98668494,48.35041241,2017-08-21 11:15
118,0,228.1517806,494.3509468,179.564104,3.717264887,2017-08-22,150612,149.673,-53.98804133,48.35095072,2017-08-22 15:06
119,0,0.89615551,1.388792178,0.394667402,0.157188975,2017-08-23,110453,149.673,-53.98856938,48.35030484,2017-08-23 11:04
120,0,14.11630509,26.69991143,2.029576157,0.833107292,2017-08-24,100218,149.673,-53.9881681,48.35121455,2017-08-24 10:02
121,1,0,0,0,0,2017-08-29,151548,149.673,-53.98963301,48.35129496,2017-08-29 15:15
122,0,882.3485978,1812.340534,551.6658446,5.173372182,2017-08-30,107188,149.673,-53.98796751,48.35010541,2017-08-30 11:11
123,0,757.7832632,545.4607849,-263.7869865,5.203700169,2017-08-31,153146,149.673,-53.98510145,48.35104157,2017-08-31 15:31
124,0,4126.79404,1630.796915,1374.832352,6.118393742,2017-09-01,98230,149.673,-53.98679988,48.35273428,2017-09-01 10:22
125,0,10.58006197,15.79540678,0.050585519,1.670454702,2018-06-18,173324,149.093,-53.98650495,48.35364342,2018-06-18 17:33
126,0,18.83842099,117.6338665,8.763380555,1.666464162,2018-06-21,90423,149.093,-53.98696558,48.35460239,2018-06-21 9:04
127,0,25.45556701,98.65588444,25.53547521,1.280172577,2018-06-23,85809,149.093,-53.98679602,48.35467422,2018-06-23 8:58
128,0,25.65087701,46.64196238,-1.666070264,0.85565824,2018-06-30,110000,149.093,-53.985518,48.35515521,2018-06-30 11:00
129,0,91.54457499,78.15568384,-67.03805494,0.894390682,2018-07-01,133000,149.093,-53.98514165,48.35514864,2018-07-01 13:30
130,1,0,0,0,0,2018-07-02,123500,149.093,-53.98609788,48.35196878,2018-07-02 12:35
131,1,0,0,0,0,2018-07-04,92100,149.093,-53.98670095,48.35528003,2018-07-04 9:21
132,0,0.948445151,7.60872982,0.237840618,0.129084597,2018-07-05,113100,149.093,-53.98583478,48.35800114,2018-07-05 11:31
133,0,24.46166909,179.379594,-62.5969233,0.180651473,2018-07-07,164500,149.093,-53.98748664,48.35941287,2018-07-07 16:45
134,0,62.04715926,529.0269296,42.63441126,1.528731134,2018-07-08,192600,149.093,-53.98603306,48.35652718,2018-07-08 19:26
135,0,221.5255942,995.3815073,32.38761193,3.801394314,2018-07-09,186850,149.093,-53.98700068,48.35576683,2018-07-09 19:08
136,0,140.7466586,864.3163956,-28.91937905,4.142323384,2018-07-11,166700,149.093,-53.98749841,48.35507143,2018-07-11 17:17
137,1,0,0,0,0,2018-07-12,95400,149.093,-53.98404706,48.3535195,2018-07-12 9:54
138,0,1.387558828,7.31029082,1.407078298,0.373755693,2018-07-21,154600,149.093,-53.98658964,48.35492788,2018-07-21 15:46
139,0,11.87098169,135.3017406,7.863484706,0.64326489,2018-07-26,204500,149.093,-53.98747655,48.35742745,2018-07-26 20:45
140,0,39.98924462,121.473933,28.95404657,4.552519965,2018-07-27,140600,149.093,-53.98406361,48.35281214,2018-07-27 14:06
141,0,111.6634442,289.3237516,67.6761437,3.519025868,2018-07-29,194900,149.093,-53.98603277,48.35442662,2018-07-29 19:49
142,0,36.69267546,93.92972506,35.82251015,121.2027931,2018-08-02,184400,149.093,-53.98357347,48.35360786,2018-08-02 18:44
143,0,981.9298108,809.3444074,746.4994085,2.360741216,2018-08-03,101250,149.093,-53.98031268,48.35490119,2018-08-03 10:12
144,1,0,0,0,0,2018-06-21,111730,149.173,-53.97448696,48.35453929,2018-06-21 11:17
145,1,0,0,0,0,2018-06-30,113700,149.173,-53.96955064,48.35410034,2018-06-30 11:37
146,0,1533.582898,553.5171876,706.796806,4.280732947,2018-07-01,134500,149.173,-53.97718986,48.35369476,2018-07-01 13:45
147,0,680.5393442,6643.827192,1592.858614,120.9892612,2018-07-02,140000,149.173,-53.97427593,48.35377882,2018-07-02 14:00
148,1,0,0,0,0,2018-07-04,91700,149.173,-53.98465944,48.35293811,2018-07-04 9:17
149,0,22.13119679,157.9094439,43.25653468,1.571747612,2018-07-05,101300,149.173,-53.98315476,48.3527398,2018-07-05 10:13
150,1,0,0,0,0,2018-07-07,175400,149.173,-53.97420308,48.35383288,2018-07-07 17:54
151,0,1576.344929,5931.741697,979.5171942,92.97768847,2018-07-08,193200,149.173,-53.97622379,48.35189193,2018-07-08 19:32
152,0,5.853602223,14.47454751,5.82312815,0.311840163,2018-07-09,181000,149.173,-53.97677856,48.35323649,2018-07-09 18:10
153,1,0,0,0,0,2018-07-10,152700,149.173,-53.9716883,48.35353175,2018-07-10 15:27
154,0,132.2941423,517.51224,100.3085088,2.147823787,2018-07-11,171400,149.173,-53.97435828,48.35251115,2018-07-11 17:14
155,0,1.803062009,5.489779501,1.29148422,0.138800564,2018-07-12,102100,149.173,-53.97604826,48.35569437,2018-07-12 10:21
156,0,59.31515502,203.8170706,48.58786078,0.900782501,2018-07-14,163200,149.173,-53.97618472,48.35466167,2018-07-14 16:32
157,0,39.61462368,99.27096165,36.64952101,0.623326092,2018-07-15,93300,149.173,-53.97563849,48.35462654,2018-07-15 9:33
158,0,114.2049778,918.4806543,-19.59420726,3.344736622,2018-07-21,160100,149.173,-53.97446628,48.35119357,2018-07-21 16:01
159,0,15.05454692,157.4420739,25.96075647,0.716108318,2018-07-22,115800,149.173,-53.97686632,48.35290855,2018-07-22 11:58
160,0,170.0731975,975.843071,-3.770674236,4.223174124,2018-07-23,151200,149.173,-53.97468863,48.35059729,2018-07-23 15:12
161,0,77.29606577,267.0141232,3.261374723,1.448299763,2018-07-24,183150,149.173,-53.97675246,48.35343096,2018-07-24 18:31
162,1,0,0,0,0,2018-07-26,204400,149.173,-53.97850862,48.35019772,2018-07-26 20:44
163,0,3890.978129,14815.6269,7163.000549,5.666667927,2018-07-27,151100,149.173,-53.9767788,48.35159085,2018-07-27 15:11
164,0,12.03020922,25.71266885,7.236244332,0.482885015,2018-07-28,92200,149.173,-53.97693437,48.35351834,2018-07-28 9:22
165,0,73.81405506,593.2682381,30.35504446,1.423760016,2018-07-29,202500,149.173,-53.97538548,48.35353078,2018-07-29 20:25
166,1,0,0,0,0,2018-07-30,102600,149.173,-53.97539114,48.35359574,2018-07-30 10:26
167,0,489.8759909,275.9186964,301.8807675,1.550620492,2018-08-01,164300,149.173,-53.97643313,48.35182285,2018-08-01 16:43
168,0,192.3627909,569.2380206,290.6234687,1.022629474,2018-08-02,191100,149.173,-53.97422379,48.35304451,2018-08-02 19:11
169,0,222.010167,1510.375589,320.7265834,2.490182404,2018-08-03,105000,149.173,-53.97413173,48.35269118,2018-08-03 10:50
170,1,0,0,0,0,2018-06-18,161039,149.213,-53.98755574,48.35197356,2018-06-18 16:10
171,1,0,0,0,0,2018-06-21,97790,149.213,-53.98846777,48.35176379,2018-06-21 9:17
172,0,28.67480743,31.54794067,11.10933914,1.162996065,2018-06-23,104854,149.213,-53.98936347,48.35147207,2018-06-23 10:48
173,0,1836.081134,1365.522203,1556.787329,0.631781788,2018-07-01,153000,149.213,-53.99360996,48.34833293,2018-07-01 15:30
174,1,0,0,0,0,2018-07-02,140500,149.213,-53.99283526,48.35020816,2018-07-02 14:05
175,0,726.6553836,202.7790747,353.9555289,1.043250874,2018-07-03,143000,149.213,-53.99217773,48.35144169,2018-07-03 14:30
176,1,0,0,0,0,2018-07-04,105700,149.213,-53.98876463,48.35070355,2018-07-04 10:57
177,0,1476.948633,1364.30118,1248.520827,1.724533748,2018-07-05,113700,149.213,-53.99413071,48.34945083,2018-07-05 11:37
178,0,248.6171779,81.96417991,117.9177382,1.127332202,2018-07-07,174000,149.213,-53.9903147,48.35166778,2018-07-07 17:40
179,0,1312.981116,1463.972044,1135.887709,3.40037585,2018-07-08,192200,149.213,-53.99097861,48.35064238,2018-07-08 19:22
180,0,329.3944252,342.0923543,-3.656333054,10.29099986,2018-07-09,183100,149.213,-53.9853444,48.35163081,2018-07-09 18:31
181,0,0.036947111,0.06843373,0.036893087,0.056751271,2018-07-10,141200,149.213,-53.98826393,48.3516463,2018-07-10 14:12
182,0,1370.384816,1525.580275,1059.417528,5.324222343,2018-07-11,163000,149.213,-53.98996868,48.35131959,2018-07-11 16:30
183,0,481.9621599,388.1117461,403.4444405,1.504580651,2018-07-12,100600,149.213,-53.98917055,48.35065592,2018-07-12 10:06
184,0,358.1585265,541.0700293,357.0754008,4.318520057,2018-07-14,161950,149.213,-53.98909942,48.35196699,2018-07-14 16:19
185,0,486.5238653,545.6149488,444.2208712,5.97647968,2018-07-15,91200,149.213,-53.98541954,48.35150277,2018-07-15 9:12
186,0,144.5029328,82.30582383,82.02546216,1.342599012,2018-07-21,153600,149.213,-53.99053389,48.3516551,2018-07-21 15:36
187,0,43.78073059,86.50962133,31.26834616,2.1643508,2018-07-22,114200,149.213,-53.98716799,48.35107776,2018-07-22 11:42
188,0,103.4883368,114.2424608,60.50475031,2.02035239,2018-07-23,143550,149.213,-53.98901242,48.35173425,2018-07-23 14:35
189,0,76.65365363,106.0040659,64.72334593,1.992124365,2018-07-24,173700,149.213,-53.98744225,48.35121365,2018-07-24 17:37
190,0,26.99715962,27.22209128,17.97558531,0.984342911,2018-07-26,203100,149.213,-53.98936649,48.35175587,2018-07-26 20:31
191,0,12.3681656,8.32808739,0.923615,0.93323319,2018-07-27,143100,149.213,-53.98860865,48.35220695,2018-07-27 14:31
192,0,17.95745861,36.90933047,7.759742322,2.631410129,2018-07-28,91900,149.213,-53.98658915,48.3518051,2018-07-28 9:19
193,0,0.282812912,0.55524468,0.344646915,0.152097036,2018-07-29,193100,149.213,-53.9870938,48.35201218,2018-07-29 19:31
194,0,101.9904415,21.82654505,40.94426217,0.970329146,2018-07-30,93100,149.213,-53.98710762,48.35175629,2018-07-30 9:31
195,0,1.452422602,3.327694343,1.555524279,0.527032251,2018-08-01,172800,149.213,-53.98693072,48.35146563,2018-08-01 17:28
196,0,534.4952574,96.85909076,-34.89177195,4.716056535,2018-08-02,184600,149.213,-53.98587647,48.35236084,2018-08-02 18:46
197,0,12.57761933,26.20328992,11.68014927,2.098394988,2018-08-03,100700,149.213,-53.9868773,48.3520149,2018-08-03 10:07
198,1,0,0,0,0,2018-06-18,167464,149.613,-53.9804468,48.35417437,2018-06-18 17:14
199,0,779.8397385,668.091959,283.5063571,5.510477075,2018-06-21,105412,149.613,-53.9817578,48.35380322,2018-06-21 10:54
200,0,9.520552678,4.713870755,1.419005852,0.697532975,2018-06-23,105615,149.613,-53.98222825,48.35328606,2018-06-23 10:56
201,1,0,0,0,0,2018-06-30,122000,149.613,-53.97453258,48.35519503,2018-06-30 12:20
202,0,270.6113753,430.2139411,200.7799297,2.720454279,2018-07-01,151000,149.613,-53.9802367,48.35307155,2018-07-01 15:10
203,1,0,0,0,0,2018-07-02,120000,149.613,-53.98076795,48.35451681,2018-07-02 12:00
204,0,18.25154816,44.8263981,8.190125836,0.711590946,2018-07-03,125200,149.613,-53.97915632,48.35373825,2018-07-03 12:52
205,0,1110.711526,662.5135951,393.0891466,5.489011478,2018-07-04,92500,149.613,-53.9811429,48.35377577,2018-07-04 9:25
206,0,13.18754255,32.99144253,5.206929878,1.768715684,2018-07-05,114100,149.613,-53.98287388,48.35118416,2018-07-05 11:41
207,0,57.32270449,251.1084952,66.97756668,1.626044059,2018-07-07,163900,149.613,-53.98207839,48.35349596,2018-07-07 16:39
208,0,0.678203118,0.795698602,0.480249815,0.147906413,2018-07-08,183000,149.613,-53.98120665,48.35289257,2018-07-08 18:30
209,0,145.891678,282.5111041,113.0496031,2.432057293,2018-07-09,180600,149.613,-53.98134217,48.35312693,2018-07-09 18:06
210,0,66.75592991,383.8991413,56.19469076,3.173090685,2018-07-10,141200,149.613,-53.98295444,48.35200016,2018-07-10 14:12
211,0,98.39008274,326.8928895,117.2817918,2.620158451,2018-07-11,155500,149.613,-53.98265337,48.35291228,2018-07-11 15:55
212,0,17.15195221,68.40434388,9.328879783,0.816687775,2018-07-12,105900,149.613,-53.9803852,48.35314788,2018-07-12 10:59
213,0,175.3761159,488.6705564,39.93574812,3.241783589,2018-07-14,161400,149.613,-53.9803167,48.35233531,2018-07-14 16:14
214,0,200.6793809,224.2011601,140.1209953,2.430617339,2018-07-15,92000,149.613,-53.98151984,48.35361419,2018-07-15 9:20
215,0,831.4669845,2117.021594,854.5753416,4.508049974,2018-07-21,152500,149.613,-53.98065514,48.35352002,2018-07-21 15:25
216,0,55.31831062,116.6761332,36.26230935,0.987065185,2018-07-22,112000,149.613,-53.97651681,48.35350657,2018-07-22 11:20
217,0,0.342108037,5.86675639,1.018379516,0.567181227,2018-07-23,135900,149.613,-53.98391045,48.35156952,2018-07-23 13:59
218,0,496.526106,700.2471036,366.4983016,4.349533336,2018-07-24,172400,149.613,-53.9818225,48.35336761,2018-07-24 17:24
219,0,78.80356629,160.8554204,76.72780451,2.23190886,2018-07-26,194500,149.613,-53.98251445,48.35275408,2018-07-26 19:45
220,0,198.6179692,222.5318836,138.8775805,1.62880522,2018-07-28,91000,149.613,-53.97968543,48.35381705,2018-07-28 9:10
