"","event.id","visible","timestamp","location.long","location.lat","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","X","COV.x.y","COV.x.x","COV.y.y"
"95",15113907383,"true","2017-07-19 16:29:00.000",-53.98672164,48.35117642,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278731.85611529,5359644.46803909,"22N",97,734.367954,1917.183561,1071.522528
"96",15113907387,"true","2017-07-22 09:46:00.000",-53.98729533,48.3520908,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278693.322036553,5359747.74477439,"22N",98,851.1913325,1278.67379,880.1703121
"97",15113907391,"true","2017-07-24 09:36:00.000",-53.98567197,48.35077226,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278807.861087458,5359596.52071785,"22N",99,75.94818593,348.0123525,1290.531974
"98",15113907394,"true","2017-07-27 15:58:00.000",-53.98595055,48.35113804,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278788.809244433,5359637.97603169,"22N",100,79.99128407,193.9946357,255.2291317
"99",15113907399,"true","2017-07-29 12:27:00.000",-53.98688485,48.35093274,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278718.710260978,5359617.85799816,"22N",101,21.51894408,452.4039214,443.0742788
"100",15113907405,"true","2017-08-03 17:11:00.000",-53.9852413,48.35045491,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278838.389383339,5359560.00871901,"22N",102,85.56694477,307.190356,213.2914608
"101",15113907408,"true","2017-08-05 11:20:00.000",-53.98595556,48.35046976,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278785.543322826,5359563.72110684,"22N",103,1545.354544,1914.759782,2315.759333
"102",15113907410,"true","2017-08-08 14:05:00.000",-53.98544874,48.35056348,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278823.493019412,5359572.67347864,"22N",104,123.907853,1209.047618,1662.923586
"103",15113907413,"true","2017-08-10 18:10:00.000",-53.98904579,48.34892901,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278549.946932204,5359401.41674691,"22N",105,1500.671354,2453.936163,2726.263691
"104",15113907416,"true","2017-08-11 06:19:00.000",-53.98528888,48.3511843,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278838.023594978,5359641.20692895,"22N",106,16.2162116,137.0830951,330.5598527
"105",15113907420,"true","2017-08-11 17:55:00.000",-53.98654165,48.3508515,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278743.781338946,5359607.83821104,"22N",107,135.2023775,377.0279781,857.0516828
"106",15113907423,"true","2017-08-12 06:22:00.000",-53.98592134,48.35070201,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278789.084270309,5359589.43343945,"22N",108,654.8181398,1027.796047,1165.639115
"107",15113907426,"true","2017-08-12 17:51:00.000",-53.98827728,48.34868586,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278605.823647831,5359372.17331007,"22N",109,1204.968941,1631.449914,2488.418046
"108",15113907429,"true","2017-08-13 11:29:00.000",-53.98793424,48.35204663,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278645.803433946,5359744.68167041,"22N",110,16.60559519,309.9753673,1272.957863
"109",15113907433,"true","2017-08-15 08:40:00.000",-53.98974635,48.3515005,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278509.20289822,5359689.22457571,"22N",111,101.6200581,585.2335652,805.3266727
"110",15113907438,"true","2017-08-16 08:51:00.000",-53.98918189,48.35050023,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278546.678055484,5359576.42779391,"22N",112,349.6171121,1006.025294,1367.594235
"111",15113907441,"true","2017-08-17 09:40:00.000",-53.98640765,48.35104942,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278754.565071985,5359629.4471129,"22N",113,58.686998,271.4875029,255.5270558
"112",15113907444,"true","2017-08-18 15:46:00.000",-53.98870428,48.34894678,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278575.322830918,5359402.40460603,"22N",114,1113.769242,2371.763597,1812.776332
"113",15113907449,"true","2017-08-19 13:45:00.000",-53.98805273,48.35116817,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278633.218337354,5359647.3962557,"22N",115,290.1575923,430.1504185,1000.871781
